interview_date,child_age_years,child_birthday,EC6,EC7,EC8,EC9,EC10,EC11,EC12,EC13,EC14,EC15
3/30/2019,4,12/19/2014,1,2,2,1,2,1,1,1,2,2
4/1/2019,3,4/15/2015,2,1,2,1,2,1,1,1,2,1
4/1/2019,3,8/13/2015,2,2,2,1,2,1,1,1,1,1
4/1/2019,4,6/2/2014,2,2,2,1,2,1,1,1,1,1
4/2/2019,4,4/4/2014,2,2,2,1,2,1,1,1,1,1
4/2/2019,3,1/6/2016,2,2,2,1,1,1,1,1,1,1
4/2/2019,3,5/30/2015,2,2,2,1,2,1,1,1,2,2
3/22/2019,4,4/15/2014,2,2,2,1,2,1,2,1,2,2
3/22/2019,4,2/24/2015,2,2,1,1,2,1,1,1,1,2
3/23/2019,3,7/17/2015,2,2,2,1,2,1,2,1,2,1
3/23/2019,4,3/12/2015,2,2,2,1,2,1,2,1,2,1
2/3/2019,3,10/31/2015,2,2,2,1,1,1,1,1,2,1
2/4/2019,4,5/2/2014,2,2,2,1,2,1,2,1,1,1
2/3/2019,3,9/13/2015,2,2,1,1,2,1,1,1,1,1
2/3/2019,4,7/2/2014,2,2,1,1,2,1,1,1,1,2
2/3/2019,3,11/9/2015,2,2,2,1,2,1,1,1,2,2
2/4/2019,3,6/1/2015,2,2,2,1,1,2,2,1,1,1
2/3/2019,4,2/20/2014,2,2,2,1,1,1,1,1,1,2
3/1/2019,4,7/5/2014,2,2,2,1,2,1,2,1,2,2
3/1/2019,3,4/7/2015,2,2,2,1,1,1,2,1,2,2
3/2/2019,3,3/16/2015,2,2,2,1,1,1,1,1,2,1
3/2/2019,3,3/20/2015,2,2,2,1,2,1,1,1,2,2
3/2/2019,4,12/25/2014,1,2,1,1,2,1,1,1,2,2
3/2/2019,4,3/15/2014,2,2,2,1,2,1,1,1,1,1
3/5/2019,4,10/29/2014,2,2,2,1,2,2,2,1,2,2
3/5/2019,4,5/26/2014,2,2,2,2,2,1,1,1,2,2
3/5/2019,4,5/26/2014,2,2,2,1,2,1,1,1,2,2
3/5/2019,4,3/17/2014,2,2,2,1,2,1,2,1,1,1
3/5/2019,3,3/25/2015,2,2,2,1,2,1,2,2,1,1
3/7/2019,3,6/14/2015,2,2,2,1,2,2,2,2,1,2
3/7/2019,3,9/22/2015,2,1,2,1,1,1,1,1,1,1
3/8/2019,3,9/19/2015,2,2,2,1,2,1,2,2,2,1
3/7/2019,3,9/16/2015,2,2,1,1,1,1,1,1,2,1
